Cycle     | A| B| C| D| E| F| G| H|IN|OT|CNZ| SP | PC |
0000000174|2c  1  0  0  0  0  0  0| 0 2b|000|0000 0005|
0000000175|2c  1  0  0  0  0  0  0| 0 2c|000|0000 0006|
0000000178|2d  1  0  0  0  0  0  0| 0 2c|000|0000 0005|
0000000179|2d  1  0  0  0  0  0  0| 0 2d|000|0000 0006|
0000000182|2e  1  0  0  0  0  0  0| 0 2d|000|0000 0005|
0000000183|2e  1  0  0  0  0  0  0| 0 2e|000|0000 0006|
0000000186|2f  1  0  0  0  0  0  0| 0 2e|000|0000 0005|
0000000187|2f  1  0  0  0  0  0  0| 0 2f|000|0000 0006|
0000000190|30  1  0  0  0  0  0  0| 0 2f|000|0000 0005|
0000000191|30  1  0  0  0  0  0  0| 0 30|000|0000 0006|
0000000194|31  1  0  0  0  0  0  0| 0 30|000|0000 0005|
0000000195|31  1  0  0  0  0  0  0| 0 31|000|0000 0006|
0000000198|32  1  0  0  0  0  0  0| 0 31|000|0000 0005|
0000000199|32  1  0  0  0  0  0  0| 0 32|000|0000 0006|
0000000202|33  1  0  0  0  0  0  0| 0 32|000|0000 0005|
0000000203|33  1  0  0  0  0  0  0| 0 33|000|0000 0006|
0000000206|34  1  0  0  0  0  0  0| 0 33|000|0000 0005|
0000000207|34  1  0  0  0  0  0  0| 0 34|000|0000 0006|
0000000210|35  1  0  0  0  0  0  0| 0 34|000|0000 0005|
0000000211|35  1  0  0  0  0  0  0| 0 35|000|0000 0006|
0000000214|36  1  0  0  0  0  0  0| 0 35|000|0000 0005|
0000000215|36  1  0  0  0  0  0  0| 0 36|000|0000 0006|
0000000218|37  1  0  0  0  0  0  0| 0 36|000|0000 0005|
0000000219|37  1  0  0  0  0  0  0| 0 37|000|0000 0006|
0000000222|38  1  0  0  0  0  0  0| 0 37|000|0000 0005|
0000000223|38  1  0  0  0  0  0  0| 0 38|000|0000 0006|
0000000226|39  1  0  0  0  0  0  0| 0 38|000|0000 0005|
0000000227|39  1  0  0  0  0  0  0| 0 39|000|0000 0006|
0000000230|3a  1  0  0  0  0  0  0| 0 39|000|0000 0005|
0000000231|3a  1  0  0  0  0  0  0| 0 3a|000|0000 0006|
0000000234|3b  1  0  0  0  0  0  0| 0 3a|000|0000 0005|
0000000235|3b  1  0  0  0  0  0  0| 0 3b|000|0000 0006|
0000000238|3c  1  0  0  0  0  0  0| 0 3b|000|0000 0005|
0000000239|3c  1  0  0  0  0  0  0| 0 3c|000|0000 0006|
0000000242|3d  1  0  0  0  0  0  0| 0 3c|000|0000 0005|
0000000243|3d  1  0  0  0  0  0  0| 0 3d|000|0000 0006|
0000000246|3e  1  0  0  0  0  0  0| 0 3d|000|0000 0005|
0000000247|3e  1  0  0  0  0  0  0| 0 3e|000|0000 0006|
0000000250|3f  1  0  0  0  0  0  0| 0 3e|000|0000 0005|
0000000251|3f  1  0  0  0  0  0  0| 0 3f|000|0000 0006|
0000000254|40  1  0  0  0  0  0  0| 0 3f|000|0000 0005|
0000000255|40  1  0  0  0  0  0  0| 0 40|000|0000 0006|
0000000258|41  1  0  0  0  0  0  0| 0 40|000|0000 0005|
0000000259|41  1  0  0  0  0  0  0| 0 41|000|0000 0006|
0000000262|42  1  0  0  0  0  0  0| 0 41|000|0000 0005|
0000000263|42  1  0  0  0  0  0  0| 0 42|000|0000 0006|
0000000266|43  1  0  0  0  0  0  0| 0 42|000|0000 0005|
0000000267|43  1  0  0  0  0  0  0| 0 43|000|0000 0006|
