Cycle     | A| B| C| D| E| F| G| H|IN|OT|CNZ| SP | PC |
0000000763|bf  1  0  0  0  0  0  0| 0 bf|010|0000 0006|
0000000766|c0  1  0  0  0  0  0  0| 0 bf|010|0000 0005|
0000000767|c0  1  0  0  0  0  0  0| 0 c0|010|0000 0006|
0000000770|c1  1  0  0  0  0  0  0| 0 c0|010|0000 0005|
0000000771|c1  1  0  0  0  0  0  0| 0 c1|010|0000 0006|
0000000774|c2  1  0  0  0  0  0  0| 0 c1|010|0000 0005|
0000000775|c2  1  0  0  0  0  0  0| 0 c2|010|0000 0006|
0000000778|c3  1  0  0  0  0  0  0| 0 c2|010|0000 0005|
0000000779|c3  1  0  0  0  0  0  0| 0 c3|010|0000 0006|
0000000782|c4  1  0  0  0  0  0  0| 0 c3|010|0000 0005|
0000000783|c4  1  0  0  0  0  0  0| 0 c4|010|0000 0006|
0000000786|c5  1  0  0  0  0  0  0| 0 c4|010|0000 0005|
0000000787|c5  1  0  0  0  0  0  0| 0 c5|010|0000 0006|
0000000790|c6  1  0  0  0  0  0  0| 0 c5|010|0000 0005|
0000000791|c6  1  0  0  0  0  0  0| 0 c6|010|0000 0006|
0000000794|c7  1  0  0  0  0  0  0| 0 c6|010|0000 0005|
0000000795|c7  1  0  0  0  0  0  0| 0 c7|010|0000 0006|
0000000798|c8  1  0  0  0  0  0  0| 0 c7|010|0000 0005|
0000000799|c8  1  0  0  0  0  0  0| 0 c8|010|0000 0006|
0000000802|c9  1  0  0  0  0  0  0| 0 c8|010|0000 0005|
0000000803|c9  1  0  0  0  0  0  0| 0 c9|010|0000 0006|
0000000806|ca  1  0  0  0  0  0  0| 0 c9|010|0000 0005|
0000000807|ca  1  0  0  0  0  0  0| 0 ca|010|0000 0006|
0000000810|cb  1  0  0  0  0  0  0| 0 ca|010|0000 0005|
0000000811|cb  1  0  0  0  0  0  0| 0 cb|010|0000 0006|
0000000814|cc  1  0  0  0  0  0  0| 0 cb|010|0000 0005|
0000000815|cc  1  0  0  0  0  0  0| 0 cc|010|0000 0006|
0000000818|cd  1  0  0  0  0  0  0| 0 cc|010|0000 0005|
0000000819|cd  1  0  0  0  0  0  0| 0 cd|010|0000 0006|
0000000822|ce  1  0  0  0  0  0  0| 0 cd|010|0000 0005|
0000000823|ce  1  0  0  0  0  0  0| 0 ce|010|0000 0006|
0000000826|cf  1  0  0  0  0  0  0| 0 ce|010|0000 0005|
0000000827|cf  1  0  0  0  0  0  0| 0 cf|010|0000 0006|
0000000830|d0  1  0  0  0  0  0  0| 0 cf|010|0000 0005|
0000000831|d0  1  0  0  0  0  0  0| 0 d0|010|0000 0006|
0000000834|d1  1  0  0  0  0  0  0| 0 d0|010|0000 0005|
0000000835|d1  1  0  0  0  0  0  0| 0 d1|010|0000 0006|
0000000838|d2  1  0  0  0  0  0  0| 0 d1|010|0000 0005|
0000000839|d2  1  0  0  0  0  0  0| 0 d2|010|0000 0006|
0000000842|d3  1  0  0  0  0  0  0| 0 d2|010|0000 0005|
0000000843|d3  1  0  0  0  0  0  0| 0 d3|010|0000 0006|
0000000846|d4  1  0  0  0  0  0  0| 0 d3|010|0000 0005|
0000000847|d4  1  0  0  0  0  0  0| 0 d4|010|0000 0006|
0000000850|d5  1  0  0  0  0  0  0| 0 d4|010|0000 0005|
0000000851|d5  1  0  0  0  0  0  0| 0 d5|010|0000 0006|
0000000854|d6  1  0  0  0  0  0  0| 0 d5|010|0000 0005|
0000000855|d6  1  0  0  0  0  0  0| 0 d6|010|0000 0006|
0000000858|d7  1  0  0  0  0  0  0| 0 d6|010|0000 0005|
0000000859|d7  1  0  0  0  0  0  0| 0 d7|010|0000 0006|
0000000862|d8  1  0  0  0  0  0  0| 0 d7|010|0000 0005|
0000000863|d8  1  0  0  0  0  0  0| 0 d8|010|0000 0006|
0000000866|d9  1  0  0  0  0  0  0| 0 d8|010|0000 0005|
0000000867|d9  1  0  0  0  0  0  0| 0 d9|010|0000 0006|
0000000870|da  1  0  0  0  0  0  0| 0 d9|010|0000 0005|
0000000871|da  1  0  0  0  0  0  0| 0 da|010|0000 0006|
0000000874|db  1  0  0  0  0  0  0| 0 da|010|0000 0005|
0000000875|db  1  0  0  0  0  0  0| 0 db|010|0000 0006|
0000000878|dc  1  0  0  0  0  0  0| 0 db|010|0000 0005|
0000000879|dc  1  0  0  0  0  0  0| 0 dc|010|0000 0006|
0000000882|dd  1  0  0  0  0  0  0| 0 dc|010|0000 0005|
0000000883|dd  1  0  0  0  0  0  0| 0 dd|010|0000 0006|
0000000886|de  1  0  0  0  0  0  0| 0 dd|010|0000 0005|
0000000887|de  1  0  0  0  0  0  0| 0 de|010|0000 0006|
0000000890|df  1  0  0  0  0  0  0| 0 de|010|0000 0005|
0000000891|df  1  0  0  0  0  0  0| 0 df|010|0000 0006|
0000000894|e0  1  0  0  0  0  0  0| 0 df|010|0000 0005|
0000000895|e0  1  0  0  0  0  0  0| 0 e0|010|0000 0006|
0000000898|e1  1  0  0  0  0  0  0| 0 e0|010|0000 0005|
0000000899|e1  1  0  0  0  0  0  0| 0 e1|010|0000 0006|
0000000902|e2  1  0  0  0  0  0  0| 0 e1|010|0000 0005|
0000000903|e2  1  0  0  0  0  0  0| 0 e2|010|0000 0006|
0000000906|e3  1  0  0  0  0  0  0| 0 e2|010|0000 0005|
0000000907|e3  1  0  0  0  0  0  0| 0 e3|010|0000 0006|
0000000910|e4  1  0  0  0  0  0  0| 0 e3|010|0000 0005|
0000000911|e4  1  0  0  0  0  0  0| 0 e4|010|0000 0006|
0000000914|e5  1  0  0  0  0  0  0| 0 e4|010|0000 0005|
0000000915|e5  1  0  0  0  0  0  0| 0 e5|010|0000 0006|
0000000918|e6  1  0  0  0  0  0  0| 0 e5|010|0000 0005|
0000000919|e6  1  0  0  0  0  0  0| 0 e6|010|0000 0006|
0000000922|e7  1  0  0  0  0  0  0| 0 e6|010|0000 0005|
0000000923|e7  1  0  0  0  0  0  0| 0 e7|010|0000 0006|
0000000926|e8  1  0  0  0  0  0  0| 0 e7|010|0000 0005|
0000000927|e8  1  0  0  0  0  0  0| 0 e8|010|0000 0006|
0000000930|e9  1  0  0  0  0  0  0| 0 e8|010|0000 0005|
0000000931|e9  1  0  0  0  0  0  0| 0 e9|010|0000 0006|
0000000934|ea  1  0  0  0  0  0  0| 0 e9|010|0000 0005|
0000000935|ea  1  0  0  0  0  0  0| 0 ea|010|0000 0006|
0000000938|eb  1  0  0  0  0  0  0| 0 ea|010|0000 0005|
0000000939|eb  1  0  0  0  0  0  0| 0 eb|010|0000 0006|
0000000942|ec  1  0  0  0  0  0  0| 0 eb|010|0000 0005|
0000000943|ec  1  0  0  0  0  0  0| 0 ec|010|0000 0006|
0000000946|ed  1  0  0  0  0  0  0| 0 ec|010|0000 0005|
0000000947|ed  1  0  0  0  0  0  0| 0 ed|010|0000 0006|
0000000950|ee  1  0  0  0  0  0  0| 0 ed|010|0000 0005|
0000000951|ee  1  0  0  0  0  0  0| 0 ee|010|0000 0006|
0000000954|ef  1  0  0  0  0  0  0| 0 ee|010|0000 0005|
0000000955|ef  1  0  0  0  0  0  0| 0 ef|010|0000 0006|
0000000958|f0  1  0  0  0  0  0  0| 0 ef|010|0000 0005|
0000000959|f0  1  0  0  0  0  0  0| 0 f0|010|0000 0006|
0000000962|f1  1  0  0  0  0  0  0| 0 f0|010|0000 0005|
0000000963|f1  1  0  0  0  0  0  0| 0 f1|010|0000 0006|
0000000966|f2  1  0  0  0  0  0  0| 0 f1|010|0000 0005|
0000000967|f2  1  0  0  0  0  0  0| 0 f2|010|0000 0006|
0000000970|f3  1  0  0  0  0  0  0| 0 f2|010|0000 0005|
0000000971|f3  1  0  0  0  0  0  0| 0 f3|010|0000 0006|
0000000974|f4  1  0  0  0  0  0  0| 0 f3|010|0000 0005|
0000000975|f4  1  0  0  0  0  0  0| 0 f4|010|0000 0006|
0000000978|f5  1  0  0  0  0  0  0| 0 f4|010|0000 0005|
0000000979|f5  1  0  0  0  0  0  0| 0 f5|010|0000 0006|
0000000982|f6  1  0  0  0  0  0  0| 0 f5|010|0000 0005|
0000000983|f6  1  0  0  0  0  0  0| 0 f6|010|0000 0006|
0000000986|f7  1  0  0  0  0  0  0| 0 f6|010|0000 0005|
0000000987|f7  1  0  0  0  0  0  0| 0 f7|010|0000 0006|
0000000990|f8  1  0  0  0  0  0  0| 0 f7|010|0000 0005|
0000000991|f8  1  0  0  0  0  0  0| 0 f8|010|0000 0006|
0000000994|f9  1  0  0  0  0  0  0| 0 f8|010|0000 0005|
0000000995|f9  1  0  0  0  0  0  0| 0 f9|010|0000 0006|
0000000998|fa  1  0  0  0  0  0  0| 0 f9|010|0000 0005|
0000000999|fa  1  0  0  0  0  0  0| 0 fa|010|0000 0006|
0000001002|fb  1  0  0  0  0  0  0| 0 fa|010|0000 0005|
0000001003|fb  1  0  0  0  0  0  0| 0 fb|010|0000 0006|
0000001006|fc  1  0  0  0  0  0  0| 0 fb|010|0000 0005|
0000001007|fc  1  0  0  0  0  0  0| 0 fc|010|0000 0006|
0000001010|fd  1  0  0  0  0  0  0| 0 fc|010|0000 0005|
0000001011|fd  1  0  0  0  0  0  0| 0 fd|010|0000 0006|
0000001014|fe  1  0  0  0  0  0  0| 0 fd|010|0000 0005|
0000001015|fe  1  0  0  0  0  0  0| 0 fe|010|0000 0006|
0000001018|ff  1  0  0  0  0  0  0| 0 fe|010|0000 0005|
0000001019|ff  1  0  0  0  0  0  0| 0 ff|010|0000 0006|
0000001022| 0  1  0  0  0  0  0  0| 0 ff|101|0000 0005|
0000001023| 0  1  0  0  0  0  0  0| 0  0|101|0000 0006|
